#{"t_start": 1744354122.456116, "env_id": "None"}
r,l,t
-1.3e-05,2268,643.927965
-3e-06,2268,646.970838
-6e-06,2268,649.619248
-4e-05,2268,652.460353
-1.6e-05,2268,655.585172
-2.3e-05,2268,658.399744
-1.5e-05,2268,661.412401
-7e-06,2268,664.161489
-0.0,2268,667.284078
-1.5e-05,2268,670.06789
-1e-06,2268,672.912853
-1e-06,2268,675.919217
-0.0,2268,678.73566
-1e-06,2268,681.838335
-9e-06,2268,684.722486
-2e-06,2268,687.845996
-1e-06,2268,690.712455
-1.1e-05,2268,693.469597
-1.3e-05,2268,696.594726
-4e-06,2268,699.355664
-2e-06,2268,702.384161
-5e-06,2268,705.054585
-4e-06,2268,708.221185
-5e-06,2268,710.995921
-4e-06,2268,713.767826
-1.2e-05,2268,716.77002
-4e-06,2268,719.629441
-1.2e-05,2268,722.761942
-0.0,2268,725.55857
-2e-06,2268,728.673807
-4e-06,2268,731.545141
-1e-05,2268,734.262645
-2e-06,2268,737.498542
-6e-06,2268,740.198343
-5e-06,2268,743.155161
-2e-06,2268,745.823593
-3.4e-05,2268,749.002533
-1.3e-05,2268,751.954485
-5e-06,2268,754.964221
-6e-06,2268,758.015855
-1.2e-05,2268,761.083048
-1.5e-05,2268,764.153063
-2.7e-05,2268,766.956693
-6e-06,2268,769.951132
-1.5e-05,2268,772.741531
-2e-06,2268,775.933733
-1e-06,2268,778.840526
-1.3e-05,2268,781.59081
-2.5e-05,2268,784.771839
-0.0,2268,787.573611
-1.6e-05,2268,790.772151
-2.3e-05,2268,793.499039
-0.0,2268,796.57952
-5e-06,2268,799.350026
-4e-06,2268,802.118647
-7e-06,2268,805.272254
-4e-06,2268,808.066691
-2e-06,2268,811.012755
-6e-06,2268,813.885788
-4.9e-05,2268,816.862555
-1.4e-05,2268,822.125733
